graph,minDFScode
730,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(6,7,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
731,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
732,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)"
733,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(7,8,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
734,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
735,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
736,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)"
737,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
738,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
739,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
740,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,5,sendabankcardinaletter)(4,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
741,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
742,"(0,1,1,evaluaterequest,11,acceptrequest)(0,3,1,evaluaterequest,12,rejectrequest)(0,4,1,evaluaterequest,2,createanewbankaccount)(1,2,1,acceptrequest,13,notifythecustomerbyemail)(4,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
743,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)"
744,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)"
745,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
746,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
747,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,5,1,createanewbankaccount,5,sendabankcardinaletter)(2,6,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
748,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,5,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
749,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)"
750,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
751,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)(2,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
752,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)(2,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
753,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)(2,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
754,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,6,sendapinnumberinaletter)"
755,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
756,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)"
757,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
758,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)(2,5,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
759,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)(2,4,1,createanewbankaccount,6,sendapinnumberinaletter)"
760,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)(2,4,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
761,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,6,sendapinnumberinaletter)"
762,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
763,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)"
764,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)"
765,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)"
766,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
767,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
768,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
769,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
770,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)"
771,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
772,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
773,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
774,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
775,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
776,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
777,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)"
778,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
779,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
780,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
781,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
782,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,6,sendapinnumberinaletter)"
783,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(2,3,1,rejectrequest,14,createanewbankaccount)(3,4,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
784,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)"
785,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)"
786,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
787,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
788,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
789,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
790,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)"
791,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
792,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
793,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)"
794,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(6,7,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
795,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
796,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
797,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)"
798,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
799,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
800,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
801,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,5,sendabankcardinaletter)(3,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
802,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,6,sendapinnumberinaletter)"
803,"(0,1,1,evaluaterequest,11,acceptrequest)(0,2,1,evaluaterequest,12,rejectrequest)(0,3,1,evaluaterequest,2,createanewbankaccount)(3,4,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
804,"(0,1,1,evaluaterequest,12,rejectrequest)"
805,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)"
806,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)"
807,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
808,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,5,1,createanewbankaccount,5,sendabankcardinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
809,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,5,1,createanewbankaccount,5,sendabankcardinaletter)(2,6,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
810,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,5,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
811,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)"
812,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
813,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)(2,6,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
814,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)(2,5,1,createanewbankaccount,6,sendapinnumberinaletter)"
815,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,5,sendabankcardinaletter)(2,5,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
816,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,6,sendapinnumberinaletter)"
817,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(2,4,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
818,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)"
819,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)(3,4,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
820,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)(2,5,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
821,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)(2,4,1,createanewbankaccount,6,sendapinnumberinaletter)"
822,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,5,sendabankcardinaletter)(2,4,1,createanewbankaccount,6,sendapinnumberinaletter)(4,5,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
823,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,6,sendapinnumberinaletter)"
824,"(0,1,1,evaluaterequest,12,rejectrequest)(1,2,1,rejectrequest,14,createanewbankaccount)(2,3,1,createanewbankaccount,6,sendapinnumberinaletter)(3,4,1,sendapinnumberinaletter,9,anewbankaccountwascreated)"
825,"(0,1,1,evaluaterequest,12,rejectrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)"
826,"(0,1,1,evaluaterequest,12,rejectrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)"
827,"(0,1,1,evaluaterequest,12,rejectrequest)(0,2,1,evaluaterequest,2,createanewbankaccount)(2,3,1,createanewbankaccount,4,sendawelcomepackinaletter)(3,4,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
